Year,Month,Taylor_River,Mud_Creek,McCormick_Creek,Trout_Creek,West_Highway_Creek,Barron_River,Turner_River,Lopez_River,Chatham_River,Lostmans_River,Broad_River,Shark_River,North_River,East_Side_Creek,Joe_Bay_2E
1995,10,1.06,1.06,3.34,2.4,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,11,0.98,2.21,2.75,3.5,3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,12,3.37,5.99,7.57,7.1,7.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,1,3.61,7.62,9.63,9.2,9.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,2,6.33,10.4,12.14,13.49,15.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,3,12.52,15.31,15.41,16.39,19.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,4,17.6,20.01,26.1,21.54,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,5,21.26,23.49,27.65,23.82,24.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,6,12.54,16.41,23.1,12.5,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,7,1.03,3.46,11.88,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,8,4.25,10.25,14.13,10.5,7.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,9,4.71,5.94,13.47,3.5,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,10,1.79,3.16,9.44,2.69,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,11,3.32,6.45,8.73,6.66,8.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,12,7.4,13,12.17,14.53,15.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,1,9.81,12.6,15.72,18.08,16.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,2,13.6,18.78,18.08,18.08,16.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,3,18.92,23.36,23.58,24.02,22.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,4,22.58,26.75,26.52,28.76,27.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,5,25.77,27.36,28.4,30.53,28.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,6,9.39,10.35,13.61,13.19,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,7,0.95,1.5,3.13,1.57,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,8,2.16,4.37,5.77,4.73,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,9,3.12,4.12,6.64,3.09,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,10,4.3,7.06,8.56,7.7,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,11,7.17,10.79,12.42,14.2,9.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,12,1.98,5.76,7.91,5.78,3.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,1,2.61,7.88,8,7.67,7.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,2,3.34,6.62,9.71,6.59,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,3,2.43,6.52,9.03,5.06,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,4,8.46,13.89,18.31,14.19,9.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,5,16.84,18.77,30.05,20.77,13.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,6,19.8,21.18,37.06,20.08,15.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,7,20.86,23.72,38.22,24,21.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,8,10.48,17.21,26.67,17.12,12.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,9,7.47,9.29,16.06,9.86,7.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,10,1.83,5.18,5.21,4.44,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,11,5.38,10.34,12.13,11.03,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,12,5.94,14.8,10.9,13.03,7.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,1,10.13,17.18,15.96,17.98,13.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,2,14.72,19.76,18.21,19.76,17.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,3,20.95,21.27,22.81,21.53,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,4,26.76,27.95,34.16,29.1,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,5,30.37,32.56,39.71,34.71,32.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,6,24.2,30.57,32.66,32.25,24.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,7,9.27,13.38,25.87,14.09,4.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,8,15.5,15.91,28.72,16.42,6.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,9,16.52,14.42,23.49,10.63,4.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,10,1.09,3.03,4.53,1.96,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,11,2.88,5.12,4.3,4.39,3.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,12,3.79,7.02,7.09,6.81,5.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,6.52,9.63,11.19,8.79,6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16
2000,2,6.41,10.87,13.44,9.2,7.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49
2000,3,10.49,14.5,21.07,15.12,16.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.71
2000,4,15.76,18.13,26.93,19.6,21.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3
2000,5,21.29,22.07,35.54,24.85,25.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.13
2000,6,22.9,24.6,36.37,23.86,20.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.04
2000,7,25.26,26.02,35.47,24.62,14.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.86
2000,8,20.79,22.36,36.45,15.19,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26
2000,9,15.07,14.17,35.99,11.18,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73
2000,10,6.65,3.73,14.77,3.84,3.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55
2000,11,10.69,10.99,16.03,11.81,9.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33
2000,12,11.64,14.24,19.81,13.85,10.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.81
2001,1,13.47,18.4,22.27,18.2,14.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.73
2001,2,17.83,22.22,25.6,23.42,21.55,32.54,34.49,35.41,35.16,32.79,22.12,25.62,17.89,37.28,15.99
2001,3,24.73,25.59,34.52,26.68,25.34,33.19,35.11,36,35.86,33.76,22.72,27.24,18.87,37.59,24.77
2001,4,28.72,29.46,39.55,29.67,29.26,37.86,39.19,40.09,40.91,38.52,26.97,29.53,22.7,38.77,31.89
2001,5,33.37,33.27,43.41,33.25,30.44,41.21,40.29,41.4,40.54,38.85,30.02,30.19,28.59,40.59,35.45
2001,6,34.64,35.16,44.28,35.63,33.26,36.01,40.21,41.32,40.15,35.61,25.28,26.36,26.84,40.05,33.3
2001,7,35.96,36.37,43.12,33.21,28.31,24.13,29.73,31.04,30.69,23.33,14.46,20.31,14.86,36.35,24.37
2001,8,5.79,7.9,21.46,7.81,2.85,9.91,2.97,4.79,7.48,5.26,1.52,6.2,1.02,32.07,1.26
2001,9,3.04,3.17,15.64,3.28,2.54,5.01,4.06,5.28,8.42,6.82,2.92,7.85,1.14,32.11,1.01
2001,10,1.48,1.68,7.99,1.68,2,1.42,2.43,3,5.84,3.69,0.85,3.54,0.42,31.89,0.58
2001,11,3.99,3.12,5.23,3.54,3.56,5.32,7.28,9.24,9.13,5.77,0.83,5.36,0.62,31.95,0.36
2001,12,5.04,8.33,6.39,7.32,7.73,8.78,13.43,14.96,14.19,8.65,1.59,5.39,0.91,32.04,0.76
2002,1,4.53,9.64,7.61,8.66,8.28,11.21,16.51,17.99,16.99,9.56,2.04,5.67,1.17,32.12,0.66
2002,2,8.14,14.21,12.17,15.24,14.06,19.35,22.94,23.58,22.21,17.17,5.82,12.76,2.67,32.58,5.55
2002,3,12.25,17.84,16.2,19.41,19.07,24.65,28.39,27.93,27.36,23.79,10.31,15.85,4.01,32.99,11.54
2002,4,20.34,24.56,23.79,24.79,25.47,31.69,33.88,32.76,32.13,30.87,18.13,23.35,13.04,35.78,19.34
2002,5,30.52,31.7,29.72,31.41,31.41,37.35,32.41,33.77,34.28,32.22,23.01,27.52,20.8,38.18,27.46
2002,6,22.87,24.08,24.07,22.03,17.78,21.03,21.84,23.8,23.61,21.86,14.24,13.32,8.94,34.52,15.19
2002,7,2.03,1.22,7.38,1.19,0.51,0.44,2.2,2.94,5.83,3.26,0.78,2.22,0.55,31.93,0.52
2002,8,1.29,1.8,4.78,3.89,1.91,2.16,4.27,6.15,6.74,6.13,1.43,6.11,0.82,32.01,0.52
2002,9,1.25,2.51,4.32,4.77,2.02,2.85,4.61,6.06,7.68,4.74,1.26,7.19,0.96,32.05,0.98
2002,10,5.38,8.69,8.18,11.73,9.36,7.49,8.83,9.84,10.67,10.16,2.82,10.76,2.29,32.46,3.73
2002,11,8.38,11.67,10.18,15.65,14.43,8.9,11.29,13.89,14.19,9.08,2.58,8.15,1.57,32.24,6.21
2002,12,5.61,11.49,10.08,16.03,15.09,6.84,10.52,13.28,13.89,9.05,2.04,5.1,1.46,32.21,5.22
2003,1,8.65,14.94,12.84,18.5,19.32,10.51,13.77,16.72,15.43,13.47,4.43,8.86,3.05,32.7,9.22
2003,2,15.83,20.01,21.24,23.11,24.17,18.14,23.35,23.92,22.29,21.98,8.35,16.86,6.22,33.68,19
2003,3,21.82,22.67,28.57,26.52,25.94,24.95,27.4,28.06,28.33,28.25,16.9,23.31,12.93,35.75,24.03
2003,4,20.49,24.22,27.99,25.19,24.62,27.82,30.29,31.23,30.4,29.17,19.55,21.43,11.7,35.37,18.93
2003,5,12.55,17.8,22.95,19.33,17.57,18.37,23.82,25.94,28.13,23.47,10.2,14.84,6.59,33.79,11.34
2003,6,3.84,6.88,14.3,7.92,3.6,3.04,5.43,8.76,10.68,8.86,2.77,4.82,1.25,32.14,1.2
2003,7,3.27,8.32,12.78,6.4,6.09,3.47,4.58,6.03,6.59,7.57,1.97,7.79,1.22,32.13,1.97
2003,8,6.72,11.84,18.37,11.96,5.6,2.06,3.05,3.84,4.84,5.33,0.95,4.76,0.81,32.01,2.55
2003,9,3.68,3.51,10.67,4.04,1.67,4.01,6.72,8.15,8.44,6.43,1.55,6.31,0.8,32,0.34
2003,10,4.8,4.36,5.18,4.24,3.46,3.83,4.75,6.27,8.19,5.43,1.06,4.82,0.41,31.88,0.6
2003,11,2.09,4.06,3.12,5.69,5.22,6.55,8.89,11.52,12.41,7.79,1.25,5.58,0.53,31.92,1.87
2003,12,6.62,10.68,4.43,12.27,8.35,13.32,17.39,19.66,15.77,9.18,2.09,5.47,1.07,32.09,1.02
2004,1,10.83,14.96,8.89,15.87,14.58,16.3,23.82,25.42,21.82,15.48,3.29,8.92,2.41,32.5,5.15
2004,2,10.52,15.98,13.09,17.49,15.47,11.68,20.39,22.38,21.72,13.9,3.24,8.43,2.25,32.45,6.47
2004,3,13.9,20.86,17.06,21.58,21.2,14.32,21.34,23.27,23.05,18.14,7.04,13.88,5.94,33.59,13.75
2004,4,22.29,27.02,24.95,28.17,28.02,24.09,26.37,27.51,27.84,27.21,14.79,20.46,13.3,35.86,24.24
2004,5,28.86,32.56,31.67,32.1,32.63,32.53,31.63,31.12,32.28,28.99,20.76,25.94,19.47,37.77,25.7
2004,6,35.21,36.8,38.88,37.43,36.94,30.86,32.51,33.02,33.51,30.84,22.46,27.91,23.31,38.96,37.02
2004,7,38.98,39.21,43.27,38.86,39.49,21.88,28.74,30.42,32.2,24.75,11.16,14.8,18.74,37.54,37.22
2004,8,31.23,33.14,39.13,27.23,24.8,5.08,8.18,11.16,14.28,7.84,1.49,4.74,2.59,32.55,8.84
2004,9,21.06,22.3,30.32,22.78,19.57,5.56,6.83,8.09,10.45,11.04,6.7,11.48,4.1,33.02,11.32
2004,10,16.21,17.14,25.01,20.14,17.85,8.12,10.27,11.52,13.96,10.11,3.26,8.07,1.84,32.32,7.06
2004,11,18.36,18.4,25.24,18.36,18.98,16.41,17.53,18.8,18.84,9.26,1.74,6.73,1.16,32.12,5.49
2004,12,19.7,24.67,26.35,22.97,22.13,20.51,23.53,24.96,23.39,11.92,2.64,7.57,2.09,32.4,5.41
2005,1,26.07,31.86,32.72,31.61,29.58,28.89,31.75,32.43,30.53,22.33,7.5,15.5,5.84,33.56,22.51
2005,2,34.18,36.72,38.45,35.04,34.09,32.13,35.12,35.53,34.39,30.49,14.98,21.63,12.63,35.66,29.96
2005,3,36.81,38.42,39.49,37.08,35.37,27.16,33.25,34.72,35.21,30.76,15.68,21.36,12.96,35.76,33.28
